CSV File,Column Name,Max Length,Data Type,Nullable
FSS_BASE,EFF_DATE,10,VARCHAR,No
FSS_BASE,FSS_ID,4,VARCHAR,No
FSS_BASE,NAME,30,VARCHAR,No
FSS_BASE,UPDATE_DATE,10,VARCHAR,Yes
FSS_BASE,FSS_FAC_TYPE,8,VARCHAR,No
FSS_BASE,VOICE_CALL,30,VARCHAR,Yes
FSS_BASE,CITY,40,VARCHAR,No
FSS_BASE,STATE_CODE,2,VARCHAR,Yes
FSS_BASE,COUNTRY_CODE,2,VARCHAR,No
FSS_BASE,LAT_DEG,"(2,0)",NUMBER,No
FSS_BASE,LAT_MIN,"(2,0)",NUMBER,No
FSS_BASE,LAT_SEC,"(6,4)",NUMBER,No
FSS_BASE,LAT_HEMIS,1,VARCHAR,No
FSS_BASE,LAT_DECIMAL,"(10,8)",NUMBER,No
FSS_BASE,LONG_DEG,"(3,0)",NUMBER,No
FSS_BASE,LONG_MIN,"(2,0)",NUMBER,No
FSS_BASE,LONG_SEC,"(6,4)",NUMBER,No
FSS_BASE,LONG_HEMIS,1,VARCHAR,No
FSS_BASE,LONG_DECIMAL,"(11,8)",NUMBER,No
FSS_BASE,OPR_HOURS,65,VARCHAR,No
FSS_BASE,FAC_STATUS,1,VARCHAR,Yes
FSS_BASE,ALTERNATE_FSS,4,VARCHAR,Yes
FSS_BASE,WEA_RADAR_FLAG,1,VARCHAR,Yes
FSS_BASE,PHONE_NO,16,VARCHAR,Yes
FSS_BASE,TOLL_FREE_NO,16,VARCHAR,Yes
FSS_RMK,EFF_DATE,10,VARCHAR,No
FSS_RMK,FSS_ID,4,VARCHAR,No
FSS_RMK,NAME,30,VARCHAR,No
FSS_RMK,CITY,40,VARCHAR,No
FSS_RMK,STATE_CODE,2,VARCHAR,Yes
FSS_RMK,COUNTRY_CODE,2,VARCHAR,No
FSS_RMK,REF_COL_NAME,30,VARCHAR,No
FSS_RMK,REF_COL_SEQ_NO,"(3,0)",NUMBER,No
FSS_RMK,REMARK,300,VARCHAR,No
